stock,period,datetime,open,high,low,close,volume,amount,day,raw_close,cum_dr,asof,new_event_day,new_dr
000001.SZ,1d,2016-01-04,8.075575308163591,8.095764246434001,7.557392559223095,7.624689020124458,563497.0,660376153.12,20160104,11.33,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-05,7.58431114358364,7.78620052628773,7.5035553905020045,7.671796542755413,663269.0,755531353.7200001,20160105,11.4,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-06,7.685255834935685,7.779470880197594,7.665066896665276,7.759281941927185,515706.0,591698520.3600001,20160106,11.530000000000001,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-07,7.678526188845549,7.678526188845549,7.342043884338732,7.3622328226091405,174761.0,194869493.47000003,20160107,10.94,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-08,7.5439332670428225,7.5977704357639135,7.335314238248596,7.4833664522315955,747527.0,831334546.23,20160108,11.120000000000001,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-11,7.402610699149959,7.4564478678710495,7.187262024265596,7.241099192986687,732013.0,800683640.99,20160111,10.76,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-12,7.288206715617641,7.342043884338732,7.160343439905052,7.274747423437369,561642.0,605970836.99,20160112,10.81,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-13,7.32858459215846,7.362232822609142,7.20072131644587,7.207450962536006,391709.0,424371697.73,20160113,10.71,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-14,7.126695209454369,7.268017777347233,7.05266910246287,7.247828839076823,666314.0,708535004.7,20160114,10.77,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-15,7.173802732085324,7.268017777347233,7.012291225922052,7.039209810282597,448202.0,474908142.0300001,20160115,10.459999999999999,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-18,6.958454057200961,7.106506271183961,6.931535472840417,7.005561579831916,421040.0,439917816.17999995,20160118,10.41,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-19,7.032480164192461,7.254558485166959,7.005561579831916,7.207450962536006,501109.0,532074699.5,20160119,10.71,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-20,7.200721316445869,7.268017777347231,7.025750518102324,7.093046979003687,603752.0,640968946.8700001,20160120,10.54,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-21,7.05266910246287,7.234369546896551,6.944994765020689,6.944994765020689,606145.0,638127876.8299999,20160121,10.32,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-22,6.99883193374178,7.032480164192462,6.877698304119326,6.99883193374178,466752.0,482984450.37000006,20160122,10.4,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-25,6.99883193374178,7.025750518102324,6.951724411110825,6.97864299547137,376431.0,390734876.74,20160125,10.37,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-26,6.944994765020689,6.944994765020689,6.635431044874418,6.642160690964554,647901.0,653561593.37,20160126,9.87,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-27,6.682538567505372,6.716186797956054,6.460460246530873,6.64889033705469,569037.0,558510640.86,20160127,9.879999999999999,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-28,6.6085124605138725,6.6556199831448275,6.494108476981555,6.5210270613420995,302540.0,296055319.24,20160128,9.69,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-01-29,6.554675291792782,6.783483258857417,6.5210270613420995,6.729646090136327,544435.0,540544459.55,20160129,10.0,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-02-01,6.716186797956054,6.736375736226463,6.554675291792782,6.5950531683336004,417732.0,412635642.62999994,20160201,9.8,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-02-02,6.5950531683336,6.749835028406735,6.581593876153327,6.695997859685645,369104.0,367360499.7,20160202,9.95,1.485962243193895,20241010,20241010,1.021872
000001.SZ,1d,2016-02-03,6.6287013987842816,6.655619983144826,6.5748642300631905,6.6287013987842816,274572.0,269997835.61,20160203,9.85,1.485962243193895,20241010,20241010,1.021872
