代码,名称,品种类型,行业,多空,操作时间,操作类型,操作价格,当前价格,盈利,买入权重(%),当前权重(%),数量,交易费用,市值,业务类型
601398,工商银行,股票,银行,-,2023-03-27 15:00:00,买入,3.23,3.23,0.00,0.00%,0.00%,13600,0.00,43952.48,买入
601398,工商银行,股票,银行,-,2023-04-12 15:00:00,买入,3.38,3.38,0.00,0.00%,0.00%,13200,0.00,44639.76,买入
601398,工商银行,股票,银行,-,2023-04-21 15:00:00,卖出,3.47,3.47,2192.78,0.00%,0.00%,13200,0.00,45827.76,卖出
601398,工商银行,股票,银行,-,2023-05-10 15:00:00,卖出,3.80,3.80,6747.22,0.00%,0.00%,13600,0.00,51704.48,卖出
601398,工商银行,股票,银行,-,2023-07-19 15:00:00,买入,3.64,3.64,0.00,0.00%,0.00%,12500,0.00,45441.25,买入
601398,工商银行,股票,银行,-,2023-07-31 15:00:00,买入,3.85,3.85,0.00,0.00%,0.00%,11900,0.00,45759.07,买入
601398,工商银行,股票,银行,-,2023-08-02 15:00:00,卖出,3.75,3.75,94.77,0.00%,0.00%,12500,0.00,46816.25,卖出
601398,工商银行,股票,银行,-,2023-09-12 15:00:00,卖出,3.68,3.68,-742.77,0.00%,0.00%,11900,0.00,43736.07,卖出
601398,工商银行,股票,银行,-,2023-09-18 15:00:00,买入,3.72,3.72,0.00,0.00%,0.00%,12300,0.00,45698.19,买入
601398,工商银行,股票,银行,-,2023-10-16 15:00:00,买入,4.00,4.00,0.00,0.00%,0.00%,11600,0.00,46345.48,买入
601398,工商银行,股票,银行,-,2023-10-19 15:00:00,卖出,3.91,3.91,665.44,0.00%,0.00%,12300,0.00,48035.19,卖出
601398,工商银行,股票,银行,-,2023-12-06 15:00:00,卖出,3.78,3.78,-880.44,0.00%,0.00%,11600,0.00,43793.48,卖出
601398,工商银行,股票,银行,-,2023-12-14 15:00:00,买入,3.85,3.85,0.00,0.00%,0.00%,11900,0.00,45759.07,买入
601398,工商银行,股票,银行,-,2024-01-10 15:00:00,卖出,3.93,3.93,952.00,0.00%,0.00%,11900,0.00,46711.07,卖出
601398,工商银行,股票,银行,-,2024-01-15 15:00:00,买入,3.94,3.94,0.00,0.00%,0.00%,11700,0.00,46043.01,买入
601398,工商银行,股票,银行,-,2024-01-25 15:00:00,买入,4.09,4.09,0.00,0.00%,0.00%,11400,0.00,46572.42,买入
601398,工商银行,股票,银行,-,2024-02-08 15:00:00,卖出,4.24,4.24,5220.00,0.00%,0.00%,23100,0.00,97835.43,卖出
601398,工商银行,股票,银行,-,2024-05-27 15:00:00,买入,4.56,4.56,0.00,0.00%,0.00%,10400,0.00,47375.12,买入
601398,工商银行,股票,银行,-,2024-06-26 15:00:00,买入,4.71,4.71,0.00,0.00%,0.00%,10100,0.00,47523.53,买入
601398,工商银行,股票,银行,-,2024-07-31 15:00:00,卖出,5.23,5.23,12351.20,0.00%,0.00%,20500,0.00,107249.85,卖出
601398,工商银行,股票,银行,-,2024-11-25 15:00:00,买入,5.45,5.45,0.00,0.00%,0.00%,8900,0.00,48520.13,买入
601398,工商银行,股票,银行,-,2024-12-16 15:00:00,买入,5.91,5.91,0.00,0.00%,0.00%,8300,0.00,49067.11,买入
601398,工商银行,股票,银行,-,2025-01-02 15:00:00,卖出,6.18,6.18,4216.59,0.00%,0.00%,8300,0.00,51308.11,卖出
601398,工商银行,股票,银行,-,2025-01-03 15:00:00,卖出,6.09,6.09,3720.41,0.00%,0.00%,8900,0.00,54216.13,卖出
601398,工商银行,股票,银行,-,2025-04-11 15:00:00,买入,6.33,6.33,0.00,0.00%,0.00%,7800,0.00,49335.78,买入
601398,工商银行,股票,银行,-,2025-04-30 15:00:00,卖出,6.54,6.54,1638.00,0.00%,0.00%,7800,0.00,50973.78,卖出
601398,工商银行,股票,银行,-,2025-05-27 15:00:00,买入,6.59,6.59,0.00,0.00%,0.00%,7500,0.00,49388.25,买入
601398,工商银行,股票,银行,-,2025-06-27 15:00:00,卖出,7.03,7.03,3300.00,0.00%,0.00%,7500,0.00,52688.25,卖出
601398,工商银行,股票,银行,-,2025-09-08 15:00:00,买入,7.09,7.09,0.00,0.00%,0.00%,7000,0.00,49627.90,买入
601398,工商银行,股票,银行,-,2025-11-10 15:00:00,买入,7.81,7.81,0.00,0.00%,0.00%,6400,0.00,49982.08,买入
601398,工商银行,股票,银行,-,2025-11-14 15:00:00,卖出,7.94,7.94,3239.16,0.00%,0.00%,6400,0.00,50814.08,卖出
601398,工商银行,股票,银行,-,2025-12-03 15:00:00,卖出,7.74,7.74,2142.84,0.00%,0.00%,7000,0.00,54177.90,卖出
