stock,period,datetime,open,high,low,close,volume,amount,day,raw_close,cum_dr,asof,new_event_day,new_dr
000001.SZ,1w,2016-01-10,7.830245874664479,7.84982148935114,7.112473336153569,7.256027843855751,2664760.0,3033810066.9,20160110,11.120000000000001,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-01-17,7.177725385109105,7.229927024273535,6.799263501166989,6.825364320749204,2799880.0,3014469322.44,20160117,10.459999999999999,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-01-24,6.7470618620025595,7.04722128719803,6.6687594032559145,6.786213091375882,2598798.0,2734073789.75,20160124,10.4,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-01-31,6.786213091375882,6.812313910958096,6.264196699731583,6.525204895553732,2440344.0,2439406889.76,20160131,10.0,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-02-07,6.5121544857626255,6.544780510240393,6.3555495682693355,6.473003256389302,1705400.0,1689764548.99,20160207,9.92,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-02-21,6.3033479291049055,6.6687594032559145,6.296822724209352,6.551305715135948,2017128.0,2022497287.22,20160221,10.040000000000001,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-02-28,6.610032559195932,6.727486247315898,6.264196699731583,6.388175592747104,2357942.0,2362704257.92,20160228,9.790000000000001,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-03-06,6.388175592747103,6.851465140331419,6.1467430116116155,6.786213091375882,3555757.0,3569277473.4700003,20160306,10.4,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-03-13,6.753587066898114,6.844939935435865,6.48605366618041,6.629608173882592,2433164.0,2486805273.8100004,20160313,10.16,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-03-20,6.662234198360361,6.897141574600295,6.629608173882592,6.8775659599136345,3146175.0,3269782576.1099997,20160320,10.540000000000001,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-03-27,6.884091164809188,7.138574155735783,6.851465140331419,6.910191984391402,2585668.0,2765884380.13,20160327,10.59,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-04-03,6.9297675990780645,7.014595262720262,6.7731626815847745,6.955868418660279,2004365.0,2123119822.7399998,20160403,10.66,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-04-10,6.929767599078064,7.053746492093585,6.851465140331419,6.897141574600295,1781839.0,1897288590.9600003,20160410,10.57,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-04-17,6.916717189286956,7.158149770422445,6.916717189286956,7.099422926362461,2762615.0,2980638538.3700004,20160417,10.88,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-04-24,7.060271696989139,7.079847311675799,6.760112271793666,6.884091164809188,2093955.0,2220328644.85,20160424,10.55,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-05-01,6.890616369704742,7.021120467615817,6.799263501166989,6.897141574600295,1742946.0,1842647849.33,20160501,10.57,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-05-08,6.903666779495849,7.014595262720262,6.864515550122526,6.864515550122526,1487598.0,1586396350.46,20160508,10.52,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-05-15,6.851465140331419,6.871040755018081,6.688335017942576,6.753587066898112,1541210.0,1596929064.03,20160515,10.35,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-05-22,6.734011452211452,6.766637476689221,6.636133378778146,6.720961042420344,1377278.0,1414736618.8200002,20160522,10.299999999999999,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-05-29,6.740536657107006,6.7470618620025595,6.636133378778146,6.701385427733682,1271389.0,1302476678.96,20160529,10.27,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-06-05,6.688335017942577,6.897141574600295,6.655708993464808,6.851465140331419,2600588.0,2715258032.45,20160605,10.5,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-06-12,6.857990345226973,6.8775659599136345,6.818839115853651,6.851465140331419,835802.0,877537253.7,20160612,10.5,1.5325189262354029,20250615,20250612,1.031331
000001.SZ,1w,2016-06-19,8.31467929162964,8.330577339988396,6.780517625009638,6.82026274590653,1698468.0,1638037402.79,20160619,8.58,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-06-26,6.828211770085908,6.939498108597204,6.77256860083026,6.812313721727152,1892760.0,1632354830.88,20160626,8.57,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-07-03,6.812313721727152,6.947447132776582,6.788466649189018,6.923600060238447,1742478.0,1507779206.78,20160703,8.709999999999999,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-07-10,6.907702011879691,7.04283542292912,6.8918039635209345,6.947447132776582,1927439.0,1693022960.0500002,20160710,8.74,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-07-17,6.95539615695596,7.193866882337306,6.947447132776582,7.146172737261038,2587224.0,2302080961.2599998,20160717,8.99,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-07-24,7.146172737261038,7.217713954875442,7.09052956800539,7.106427616364146,1816457.0,1632231339.73,20160724,8.94,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-07-31,7.098478592184768,7.344898341745494,7.082580543826012,7.313102245027981,2781251.0,2522170423.1499996,20160731,9.2,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-08-07,7.297204196669224,7.424388583539276,7.098478592184768,7.1859178581579295,3703521.0,3371113812.6800003,20160807,9.040000000000001,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-08-14,7.185917858157929,7.575420042947463,7.162070785619794,7.551572970409328,3556407.0,3288499884.19,20160814,9.5,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-08-21,7.591318091306219,7.790043695790675,7.495929801153681,7.559521994588706,4754673.0,4557566137.139999,20160821,9.51,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-08-28,7.551572970409328,7.559521994588706,7.424388583539276,7.5118278495124375,3721991.0,3503920577.29,20160828,9.450000000000001,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-09-04,7.4800317527949245,7.567471018768084,7.45618468025679,7.511827849512437,2498985.0,2360928192.63,20160904,9.45,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-09-11,7.519776873691816,7.519776873691816,7.440286631898032,7.456184680256788,2126696.0,2000033274.78,20160911,9.379999999999999,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-09-18,7.384643462642386,7.40849053518052,7.193866882337308,7.201815906516686,1638993.0,1504954282.5800002,20160918,9.06,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-09-25,7.193866882337308,7.305153220848604,7.17796883397855,7.27335712413109,1980102.0,1803311278.29,20160925,9.15,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-10-02,7.257459075772334,7.257459075772334,7.162070785619794,7.209764930696064,1723918.0,1561806706.82,20161002,9.07,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-10-16,7.233612003234199,7.289255172489846,7.1859178581579295,7.225662979054822,2212845.0,2014365476.0700002,20161016,9.090000000000002,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-10-23,7.217713954875442,7.257459075772334,7.17796883397855,7.257459075772334,2462336.0,2234181461.86,20161023,9.13,1.2580160500634159,20250615,20250612,1.031331
000001.SZ,1w,2016-10-30,7.257459075772334,7.392592486821764,7.249510051592956,7.289255172489846,2723018.0,2503871556.44,20161030,9.17,1.2580160500634159,20250615,20250612,1.031331
