stock,period,datetime,open,high,low,close,volume,amount,day,raw_close,cum_dr,asof,new_event_day,new_dr
000001.SZ,1w,2016-01-10,9.292594005984697,9.315825490999659,8.440772888769434,8.611137112212486,2664760.0,3033810066.9,20160110,11.120000000000001,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-01-17,8.51821117215264,8.580161798859203,8.069069128530046,8.100044441883327,2799880.0,3014469322.44,20160117,10.459999999999999,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-01-24,8.00711850182348,8.363334605386227,7.914192561763634,8.053581471853404,2598798.0,2734073789.75,20160124,10.4,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-01-31,8.053581471853404,8.084556785206686,7.434075204787757,7.743828338320581,2440344.0,2439406889.76,20160131,10.0,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-02-07,7.72834068164394,7.767059823335542,7.542488801524246,7.681877711614016,1705400.0,1689764548.99,20160207,9.92,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-02-21,7.480538174817681,7.914192561763634,7.472794346479361,7.774803651673864,2017128.0,2022497287.22,20160221,10.040000000000001,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-02-28,7.844498106718749,7.983887016808519,7.434075204787757,7.5812079432158495,2357942.0,2362704257.92,20160228,9.790000000000001,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-03-06,7.581207943215848,8.13101975523661,7.294686294697987,8.053581471853404,3555757.0,3569277473.4700003,20160306,10.4,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-03-13,8.014862330161803,8.12327592689829,7.697365368290657,7.86772959173371,2433164.0,2486805273.8100004,20160313,10.16,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-03-20,7.9064487334253135,8.185226553604855,7.86772959173371,8.161995068589892,3146175.0,3269782576.1099997,20160320,10.540000000000001,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-03-27,8.169738896928214,8.471748202122715,8.13101975523661,8.200714210281495,2585668.0,2765884380.13,20160327,10.59,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-04-03,8.223945695296457,8.324615463694624,8.038093815176763,8.25492100864974,2004365.0,2123119822.7399998,20160403,10.66,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-04-10,8.223945695296456,8.371078433724549,8.13101975523661,8.185226553604855,1781839.0,1897288590.9600003,20160410,10.57,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-04-17,8.208458038619815,8.494979687137677,8.208458038619815,8.425285232092792,2762615.0,2980638538.3700004,20160417,10.88,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-04-24,8.378822262062869,8.40205374707783,8.022606158500121,8.169738896928214,2093955.0,2220328644.85,20160424,10.55,1.291350939497804,20200531,20200528,1.017214
000001.SZ,1w,2016-05-01,8.177482725266534,8.332359292032946,8.069069128530046,8.185226553604855,1742946.0,1842647849.33,20160501,10.57,1.291350939497804,20200531,20200528,1.017214
