stock,period,datetime,open,high,low,close,volume,amount,day,raw_close,cum_dr,asof,new_event_day,new_dr
000001.SZ,1w,2016-01-10,7.4235467551330565,7.4421056220208905,6.74305496924586,6.8791533264233005,2664760.0,3033810066.9,20160110,11.120000000000001,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-01-17,6.804917858871969,6.854408170572856,6.446113099040538,6.470858254890981,2799880.0,3014469322.44,20160117,10.459999999999999,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-01-24,6.396622787339651,6.681192079619751,6.32238731978832,6.4337405211153165,2598798.0,2734073789.75,20160124,10.4,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-01-31,6.4337405211153165,6.4584856769657595,5.938837404106446,6.186288962610881,2440344.0,2439406889.76,20160131,10.0,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-02-07,6.1739163846856595,6.204847829498713,6.025445449582998,6.136798650909994,1705400.0,1689764548.99,20160207,9.92,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-02-21,5.975955137882111,6.32238731978832,5.9697688489195,6.211034118461325,2017128.0,2022497287.22,20160221,10.040000000000001,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-02-28,6.266710719124823,6.378063920451819,5.938837404106446,6.0563768943960525,2357942.0,2362704257.92,20160228,9.790000000000001,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-03-06,6.056376894396052,6.495603410741425,5.827484202779449,6.4337405211153165,3555757.0,3569277473.4700003,20160306,10.4,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-03-13,6.402809076302263,6.489417121778814,6.149171228835216,6.285269586012655,2433164.0,2486805273.8100004,20160313,10.16,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-03-20,6.3162010308257095,6.538907433479701,6.285269586012655,6.520348566591869,3146175.0,3269782576.1099997,20160320,10.540000000000001,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-03-27,6.5265348555544795,6.767800125096303,6.495603410741425,6.5512800114049226,2585668.0,2765884380.13,20160327,10.59,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-04-03,6.569838878292756,6.650260634806697,6.421367943190095,6.594584034143199,2004365.0,2123119822.7399998,20160403,10.66,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-04-10,6.569838878292755,6.687378368582363,6.495603410741425,6.538907433479701,1781839.0,1897288590.9600003,20160410,10.57,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-04-17,6.557466300367533,6.7863589919841365,6.557466300367533,6.730682391320639,2762615.0,2980638538.3700004,20160417,10.88,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-04-24,6.693564657544973,6.712123524432806,6.408995365264873,6.5265348555544795,2093955.0,2220328644.85,20160424,10.55,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-05-01,6.53272114451709,6.656446923769309,6.446113099040538,6.538907433479701,1742946.0,1842647849.33,20160501,10.57,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-05-08,6.545093722442312,6.650260634806697,6.507975988666646,6.507975988666646,1487598.0,1586396350.46,20160508,10.52,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-05-15,6.495603410741425,6.514162277629258,6.3409461866761525,6.402809076302262,1541210.0,1596929064.03,20160515,10.35,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-05-22,6.3842502094144296,6.415181654227484,6.291455874975266,6.371877631489206,1377278.0,1414736618.8200002,20160522,10.299999999999999,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-05-29,6.39043649837704,6.396622787339651,6.291455874975266,6.353318764601374,1271389.0,1302476678.96,20160529,10.27,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-06-05,6.340946186676154,6.538907433479701,6.310014741863099,6.495603410741425,2600588.0,2715258032.45,20160605,10.5,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-06-12,6.5017896997040365,6.520348566591869,6.464671965928371,6.495603410741425,835802.0,877537253.7,20160612,10.5,1.6164779984314812,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-06-19,7.882818938682956,7.897891250229194,6.428340874470899,6.4660216533364965,1698468.0,1638037402.79,20160619,8.58,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-06-26,6.473557809109615,6.579063989933289,6.420804718697779,6.458485497563377,1892760.0,1632354830.88,20160626,8.57,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-07-03,6.458485497563377,6.586600145706408,6.435877030244019,6.5639916783870484,1742478.0,1507779206.78,20160703,8.709999999999999,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-07-10,6.54891936684081,6.677034014983841,6.533847055294571,6.586600145706408,1927439.0,1693022960.0500002,20160710,8.74,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-07-17,6.594136301479527,6.82022097467311,6.586600145706408,6.7750040400343945,2587224.0,2302080961.2599998,20160717,8.99,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-07-24,6.7750040400343945,6.842829441992469,6.722250949622558,6.737323261168797,1816457.0,1632231339.73,20160724,8.94,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-07-31,6.729787105395677,6.9634079343623805,6.7147147938494385,6.9332633112699025,2781251.0,2522170423.1499996,20160731,9.2,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-08-07,6.918190999723664,7.038769492093575,6.729787105395677,6.812684818899992,3703521.0,3371113812.6800003,20160807,9.040000000000001,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-08-14,6.8126848188999904,7.1819564517828445,6.790076351580633,7.159347984463486,3556407.0,3288499884.19,20160814,9.5,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-08-21,7.197028763329083,7.38543265765707,7.10659489405165,7.166884140236606,4754673.0,4557566137.139999,20160821,9.51,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-08-28,7.159347984463486,7.166884140236606,7.038769492093575,7.12166720559789,3721991.0,3503920577.29,20160828,9.450000000000001,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-09-04,7.091522582505411,7.174420296009725,7.068914115186054,7.1216672055978885,2498985.0,2360928192.63,20160904,9.45,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-09-11,7.129203361371009,7.129203361371009,7.053841803639814,7.068914115186052,2126696.0,2000033274.78,20160911,9.379999999999999,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-09-18,7.001088713227978,7.0236971805473365,6.820220974673111,6.827757130446231,1638993.0,1504954282.5800002,20160918,9.06,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-09-25,6.820220974673111,6.9257271554967845,6.805148663126872,6.895582532404306,1980102.0,1803311278.29,20160925,9.15,1.326936478100515,20260614,20260612,1.0329059999999999
000001.SZ,1w,2016-10-02,6.880510220858067,6.880510220858067,6.790076351580633,6.83529328621935,1723918.0,1561806706.82,20161002,9.07,1.326936478100515,20260614,20260612,1.0329059999999999
