stock,period,datetime,open,high,low,close,volume,amount,day,raw_close,cum_dr,asof,new_event_day,new_dr
000001.SZ,1w,2016-01-10,8.075575308163591,8.095764246434001,7.335314238248596,7.4833664522315955,2664760.0,3033810066.9,20160110,11.120000000000001,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-01-17,7.402610699149959,7.4564478678710495,7.012291225922052,7.039209810282597,2799880.0,3014469322.44,20160117,10.459999999999999,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-01-24,6.958454057200961,7.268017777347231,6.877698304119326,6.99883193374178,2598798.0,2734073789.75,20160124,10.4,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-01-31,6.99883193374178,7.025750518102324,6.460460246530873,6.729646090136327,2440344.0,2439406889.76,20160131,10.0,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-02-07,6.716186797956054,6.749835028406735,6.554675291792782,6.675808921415236,1705400.0,1689764548.99,20160207,9.92,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-02-21,6.500838123071691,6.877698304119326,6.494108476981555,6.756564674496873,2017128.0,2022497287.22,20160221,10.040000000000001,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-02-28,6.817131489308099,6.938265118930553,6.460460246530873,6.588323522243464,2357942.0,2362704257.92,20160228,9.790000000000001,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-03-06,6.588323522243463,7.066128394643143,6.339326616908419,6.99883193374178,3555757.0,3569277473.4700003,20160306,10.4,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-03-13,6.965183703291099,7.059398748553007,6.689268213595508,6.837320427578508,2433164.0,2486805273.8100004,20160313,10.16,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-03-20,6.87096865802919,7.113235917274097,6.837320427578508,7.093046979003689,3146175.0,3269782576.1099997,20160320,10.540000000000001,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-03-27,7.099776625093825,7.3622328226091405,7.066128394643143,7.126695209454369,2585668.0,2765884380.13,20160327,10.59,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-04-03,7.146884147724779,7.234369546896551,6.985372641561507,7.173802732085324,2004365.0,2123119822.7399998,20160403,10.66,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-04-10,7.146884147724778,7.274747423437369,7.066128394643143,7.113235917274097,1781839.0,1897288590.9600003,20160410,10.57,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-04-17,7.133424855544506,7.38242176087955,7.133424855544506,7.321854946068323,2762615.0,2980638538.3700004,20160417,10.88,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-04-24,7.281477069527505,7.301666007797914,6.971913349381234,7.099776625093825,2093955.0,2220328644.85,20160424,10.55,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-05-01,7.106506271183961,7.241099192986688,7.012291225922052,7.113235917274097,1742946.0,1842647849.33,20160501,10.57,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-05-08,7.119965563364233,7.234369546896551,7.079587686823415,7.079587686823415,1487598.0,1586396350.46,20160508,10.52,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-05-15,7.066128394643143,7.086317332913553,6.897887242389735,6.965183703291098,1541210.0,1596929064.03,20160515,10.35,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-05-22,6.944994765020689,6.978642995471371,6.844050073668644,6.931535472840416,1377278.0,1414736618.8200002,20160522,10.299999999999999,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-05-29,6.951724411110825,6.958454057200961,6.844050073668644,6.911346534570007,1271389.0,1302476678.96,20160529,10.27,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-06-05,6.897887242389736,7.113235917274097,6.864239011939054,7.066128394643143,2600588.0,2715258032.45,20160605,10.5,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-06-12,7.07285804073328,7.093046979003689,7.032480164192462,7.066128394643143,835802.0,877537253.7,20160612,10.5,1.485962243193895,20241013,20241010,1.021872
000001.SZ,1w,2016-06-19,8.575186508515689,8.591582658627573,6.992958022718815,7.033948397998528,1698468.0,1638037402.79,20160619,8.58,1.2197985419457147,20241013,20241010,1.021872
000001.SZ,1w,2016-06-26,7.04214647305447,7.156919523837663,6.984759947662873,7.025750322942586,1892760.0,1632354830.88,20160626,8.57,1.2197985419457147,20241013,20241010,1.021872
000001.SZ,1w,2016-07-03,7.025750322942586,7.165117598893605,7.001156097774759,7.140523373725777,1742478.0,1507779206.78,20160703,8.709999999999999,1.2197985419457147,20241013,20241010,1.021872
000001.SZ,1w,2016-07-10,7.124127223613893,7.263494499564913,7.107731073502008,7.165117598893605,1927439.0,1693022960.0500002,20160710,8.74,1.2197985419457147,20241013,20241010,1.021872
000001.SZ,1w,2016-07-17,7.173315673949547,7.419257925627817,7.165117598893605,7.370069475292164,2587224.0,2302080961.2599998,20160717,8.99,1.2197985419457147,20241013,20241010,1.021872
000001.SZ,1w,2016-07-24,7.370069475292164,7.443852150795645,7.312682949900567,7.329079100012452,1816457.0,1632231339.73,20160724,8.94,1.2197985419457147,20241013,20241010,1.021872
