code,name,leg,entry_date,exit_date,entry_price,exit_price,hold_days,ret_pct,exit_reason,shares,cost,proceeds,pnl,skipped,skip_reason
561580,国证央企红利ETF,floatA,2023-10-11,2024-01-03,0.839,0.818,59,-2.5,R高抛,59500,49920.5,48671.0,-1249.5,False,
561580,国证央企红利ETF,floatA,2024-09-03,2024-09-26,0.884,0.968,15,9.5,R高抛,56500,49946.0,54692.0,4746.0,False,
561580,国证央企红利ETF,floatB,2024-09-09,2024-09-26,0.851,0.968,11,13.75,R高抛,27900,23742.9,27007.2,3264.3,False,
561580,国证央企红利ETF,floatA,2025-01-09,2025-05-13,1.015,1.059,78,4.33,R高抛,49200,49938.0,52102.8,2164.8,False,
561580,国证央企红利ETF,floatA,2026-01-16,2026-01-29,1.187,1.234,9,3.96,R高抛,42100,49972.7,51951.4,1978.7,False,
561580,国证央企红利ETF,floatA,2026-06-10,2026-07-24,1.186,1.199,31,1.1,期末,42100,49930.6,50477.9,547.3,False,
561580,国证央企红利ETF,floatB,2026-06-18,2026-07-24,1.141,1.199,25,5.08,期末,21900,24987.9,26258.1,1270.2,False,
561580,国证央企红利ETF,base,2023-05-30,2026-07-24,0.858,1.199,764,39.74,期末底仓,233100,199999.8,279486.9,79487.1,False,
