名次,标的,得分,建议均线,均线来源,Δ盈亏,白名单,跨年轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
1,600350.SH,99.12878787878788,EMA,compare,19273.290000000008,,42,6,6,100,10221.096666666666,85.71904761904763,5.75632499307801,0.7142857142857142,85.71428571428571,-7.2124999999999995,52.95658348533641,36.48068669527897,无近期,,2915.11,6227.73,24265.01,7462.62,3397.21,17058.9
2,601336.SH,95.32196969696969,SMA,compare,-1622.2799999999988,,9,3,3,100,5891.005,77.80000000000001,7.342586594554631,0.5555555555555556,77.77777777777779,-7.1861,25.474594411719703,36.05150214592275,无近期,,0,0,448.66,22621.89,12275.48,0
3,600875.SH,92.91666666666666,EMA,compare,12505.099999999999,,22,5,4,80,6962.798333333333,77.25454545454546,7.672937068633669,0.5454545454545454,77.27272727272727,-9.5195,49.133171714897856,21.888412017167383,无近期,,6238,12677.64,-4301.49,3023.28,24139.36,0
4,601988.SH,92.8030303030303,EMA,compare,2615.8800000000047,,41,6,5,83.33333333333334,7185.850000000001,73.15365853658537,6.240415585930947,0.5853658536585366,73.17073170731707,-6.3081,24.638598397216906,55.36480686695279,无近期,,-1444.63,3302.66,22762.62,11082.31,3794.8,3617.34
5,601939.SH,92.53787878787878,SMA,compare,-1099.6300000000047,,37,6,5,83.33333333333334,5771.84,75.66486486486488,3.741860371212835,0.6216216216216216,78.37837837837837,-6.7167,27.88148137758691,55.793991416309005,无近期,,1600.46,-3060.45,11549.79,16302.21,2070.52,6168.51
6,601699.SH,91.78030303030302,EMA,compare,15811.950000000004,,28,6,5,83.33333333333334,6795.7283333333335,74.99285714285715,3.3173562577542413,0.5714285714285715,78.57142857142857,-18.5012,50.91596616943666,25.321888412017167,无近期,,22980.93,9901.34,-5007.24,1632.23,1830.39,9436.72
