名次,标的,得分,建议均线,白名单,跨年轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2018,盈亏2019,盈亏2020,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025
4,601336.SH,92.64388489208633,SMA,,17,6,5,83.33333333333334,5033.025,76.48235294117649,6.154424585039134,0.411764705882353,70.58823529411765,-8.3239,25.474594411719703,36.05150214592275,无近期,,0,3380.12,3160.33,0,957.45,-2319.63,25167.48,9918.45
1,002001.SZ,99.67625899280577,SMA,,41,7,7,100,5211.764999999999,85.35609756097561,3.555253348957101,0.7560975609756098,85.36585365853658,-14.454600000000001,42.61797332653401,45.493562231759654,无近期,,0,5398.84,9322.8,1064.97,6035.47,818.87,4361.15,14692.02
2,000625.SZ,93.65107913669065,EMA,,28,7,5,71.42857142857143,3805.21875,78.575,2.9142251323814317,0.5714285714285714,78.57142857142857,-11.2566,26.072837803539194,56.22317596566524,无近期,,0,18926.75,2073.51,2591.96,1836.58,-2521.61,9367.28,-1832.72
5,002049.SZ,92.01438848920863,SMA,,27,6,5,83.33333333333334,2675.26625,81.48148148148148,2.4758573084558892,0.7037037037037037,85.18518518518519,-10.901,49.12427572414957,31.330472103004293,无近期,,0,8452.09,4417.72,-5450.52,8127.07,0,2078.61,3777.16
3,600350.SH,93.16546762589928,EMA,是,46,7,5,71.42857142857143,4783,76.0913043478261,2.2750391035539415,0.5869565217391305,78.26086956521739,-17.1444,52.95658348533641,36.48068669527897,无近期,,0,-3612.93,-2390.75,2915.11,6227.73,24265.01,7462.62,3397.21
6,600674.SH,90.66546762589927,EMA,,54,7,6,85.71428571428571,3300.19,77.77592592592593,1.73544849886611,0.5555555555555556,75.92592592592592,-14.551,20.593335192528706,63.94849785407726,无近期,,0,1454.02,3575.82,3505.27,1428.06,7433.73,9900.78,-896.16
