名次,标的,得分,建议均线,均线来源,建议复权,复权来源,Δ盈亏,白名单,跨年轮次,年最少轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2016,盈亏2017,盈亏2018,盈亏2019,盈亏2020,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
12,002050.SZ,91.06404958677685,SMA,compare,等比前复权,compare,-5513.75,,29,0,10,7,70,3923.0754545454547,79.3,3.4305293577945486,0.5172413793103448,75.86206896551724,-5.7376000000000005,53.67712472720507,18.025751072961373,无近期,,5474.49,8614.04,-4688.78,2653.37,1847.76,4900.63,-4801.33,11674.35,0,18641.49,-1162.19
13,601988.SH,90.48553719008264,EMA,compare,前复权,compare,6875.399999999994,,70,3,11,8,72.72727272727273,6381.945454545454,72.84999999999998,2.904061102326325,0.5,72.85714285714285,-7.725999999999999,24.407056501778666,52.36051502145923,无近期,,14123,34103,-7580,4000.4,-7726,-678,6043,10020,11225,3358,3313
14,601328.SH,89.51446280991736,EMA,compare,前复权,compare,21633,,66,1,11,8,72.72727272727273,5245.468181818182,71.2030303030303,3.7636818660791262,0.5,72.72727272727273,-4.8503,22.575865390164406,56.65236051502146,无近期,,8121,14747.25,-4268,5864,-1768,-528,5642,18385,4562,6798.9,144
15,600031.SH,89.34917355371901,SMA,compare,等比前复权,compare,-25322.62000000001,,40,0,8,7,87.5,3485.2536363636373,72.50750000000001,2.4600216997475473,0.5,75,-10.5966,28.551782806495048,35.1931330472103,无近期,,4176.67,17440.62,-9445.91,4737.61,0,0,0,1914.13,15100.14,2985.23,1429.3
16,600985.SH,88.24380165289256,SMA,compare,前复权,compare,-19008,,17,0,7,5,71.42857142857143,2436.4545454545455,76.47058823529412,4.04418446160836,0.6470588235294117,82.35294117647058,-4.218,55.85007226641061,32.61802575107296,无近期,,0,4261,-2110,0,0,9401,4368,1720,0,-221,9382
17,603799.SH,87.72727272727272,SMA,compare,前复权,compare,-30067.51,,20,0,8,6,75,2236.010909090909,75.00500000000001,3.5079758054319496,0.6,80,-4.0385,54.91623721992842,18.4549356223176,无近期,,3632.29,6861.37,-1342.01,3970,2952.31,3524.62,-4038.46,0,0,9036,0
18,601818.SH,86.98347107438018,EMA,compare,前复权,compare,13169.799999999996,,63,0,9,8,88.88888888888889,4395.963636363636,68.24603174603175,2.159801405511717,0.5396825396825397,76.19047619047619,-5.191599999999999,17.25567855836018,72.96137339055794,无近期,,8736,13510.6,2413,1784,-2044,3597,0,11081,6837,2441,0
19,601615.SH,86.36363636363636,EMA,compare,前复权,compare,15033,,12,0,5,4,80,1724.25,83.31666666666666,2.725328330206379,0.6666666666666666,83.33333333333334,-5.52,50.15645440697567,18.4549356223176,无近期,,,,,0,3271,0,-5520,513,8528,7002,0
20,600703.SH,85.80578512396694,SMA,compare,等比前复权,compare,-18090.73,,24,0,7,5,71.42857142857143,2179.8972727272726,83.33749999999999,2.554426954696497,0.5833333333333334,79.16666666666666,-6.5562,70.86297513868645,23.17596566523605,无近期,,2131.32,1356.64,3404.91,0,0,17400.8,0,-6556.19,0,-3864.61,10106
21,600048.SH,85.00000000000001,EMA,compare,等比前复权,compare,33340.01,,69,0,9,6,66.66666666666666,4235.132727272728,76.82608695652173,2.1205140854200155,0.46376811594202894,72.46376811594203,-5.8418,34.06678310076958,31.759656652360512,无近期,,1413.27,17512.14,-4014.39,22351.43,11126.44,1074.43,-2175.43,211.15,-912.58,0,0
22,002812.SZ,84.97933884297521,SMA,compare,等比前复权,compare,-10165.130000000005,,23,0,8,6,75,2980.38,73.91304347826087,2.9818105321190096,0.39130434782608703,69.56521739130434,-6.4809,55.82152308482933,27.467811158798284,无近期,,0,0,307.23,10461.38,3063.55,22488.59,-3340.57,0,1885,-4055,1974
23,600900.SH,84.0805785123967,EMA,compare,前复权,compare,41881.9,,72,2,11,7,63.63636363636363,4404.052727272728,72.22777777777777,2.3951726521325925,0.513888888888889,73.61111111111111,-6.8166,19.83058085101739,77.6824034334764,无近期,,13515,3533,10653,7249,1990,-565,-102,109.58,14109,-1665,-382
24,600019.SH,83.10950413223141,SMA,compare,等比前复权,compare,-16996.429999999997,,36,0,9,6,66.66666666666666,3574.588181818182,69.44444444444444,3.0236572587285897,0.5,75,-7.0575,21.762240368181832,60.94420600858369,无近期,,0,12003.78,-5188.1,-2681.79,3108.36,23596.24,0,547.2,5679.92,4051.94,-1797.08
25,600600.SH,82.33471074380165,SMA,compare,前复权,compare,-23771,,41,0,9,7,77.77777777777779,2410.7272727272725,70.7439024390244,2.124931065201714,0.5121951219512195,75.60975609756098,-6.0696,22.11856660206579,75.53648068669528,无近期,,-1340,8344,0,14107,276,2724,165,5030,-3894,1106,0
26,601155.SH,82.22107438016528,SMA,compare,前复权,compare,-10244,,24,0,6,5,83.33333333333334,2501,66.66666666666667,2.672807977623738,0.5833333333333333,79.16666666666666,-6.6633,48.148477214057785,27.038626609442062,无近期,,0,0,2520,0,5034,17904,0,-2139,0,2389,1803
27,003816.SZ,81.95247933884298,SMA,compare,等比前复权,compare,-12753.34,,24,0,6,4,66.66666666666666,2083.65375,79.1625,2.4306571285119016,0.5833333333333333,79.16666666666666,-6.4897,23.896511989080633,50.64377682403433,无近期,,,,,0,0,1525.52,-4726.01,8500.73,-469.07,4338.06,7500
28,601838.SH,81.34297520661156,EMA,compare,前复权,compare,18544.8,,28,0,6,5,83.33333333333334,1757.8666666666666,71.42857142857143,2.139909215361337,0.7142857142857143,85.71428571428571,-7.144100000000001,17.76278324700864,58.36909871244635,无近期,,,,0,429,0,0,1092,1560,5991,-2103,8851.8
29,002129.SZ,81.19834710743801,EMA,compare,等比前复权,compare,1667.5599999999977,,23,0,7,5,71.42857142857143,2396,69.56086956521739,2.4363702059454915,0.5652173913043479,78.26086956521739,-4.7057,49.79843290138224,29.184549356223176,无近期,,0,0,538.96,2074.5,0,-282.96,2471.01,-2871.51,0,3080,21346
30,600893.SH,80.0309917355372,SMA,compare,等比前复权,compare,-26151.9,,29,0,9,6,66.66666666666666,1990.2227272727273,79.30689655172414,2.227815288599645,0.5172413793103448,75.86206896551724,-4.4045000000000005,39.851465525608134,30.472103004291846,无近期,,0,-4237.8,0,1006.35,6551.3,5215.12,-3112.98,-198.51,7435.63,4321.87,4911.47
31,601989.SH,79.91735537190083,SMA,compare,前复权,compare,-7852,,21,0,9,6,66.66666666666666,2439.909090909091,71.42857142857144,3.9011998702842936,0.42857142857142866,71.42857142857143,-4.3201,0,100,无近期,,1207,-2108,0,6821,3149,818,-1062,14148,-1417,5283,0
32,601088.SH,79.86570247933885,EMA,compare,等比前复权,compare,3793.590000000004,,72,4,11,8,72.72727272727273,3200.7172727272728,68.05694444444445,1.767365379350989,0.513888888888889,73.61111111111111,-8.101600000000001,26.102075999478462,48.927038626609445,无近期,,5223.5,9616.56,-1293.64,-6688.75,6076.05,6149.79,-245.18,2418.65,5596.96,5242.53,3111.42
33,603659.SH,79.0495867768595,SMA,compare,前复权,compare,-2673.3600000000006,,15,0,5,3,60,1669.02,86.66666666666667,3.1005429379057245,0.7333333333333334,86.66666666666667,-3.9901,42.04635426400522,33.47639484978541,无近期,,,0,0,6434,0,7835.86,-3889.66,-2405,0,8715,0
34,600276.SH,78.87396694214877,SMA,compare,等比前复权,compare,-21184.819999999996,,34,0,9,6,66.66666666666666,2989.5181818181813,73.53529411764707,2.477094384879015,0.35294117647058826,67.64705882352942,-6.3447000000000005,38.71870147978893,43.776824034334766,无近期,,3397.91,3880.77,-3242,1154.96,18626.47,0,0,-152.68,8729.89,4651.39,-4162.01
35,000002.SZ,78.32644628099175,EMA,compare,前复权,compare,25671,,36,0,8,7,87.5,3144.7272727272725,66.67777777777778,2.019751193915453,0.38888888888888895,69.44444444444444,-7.5644,32.753424613985246,37.33905579399141,无近期,,0,21924,696,9949,2194,317,1080,-3988,2420,0,0
36,000661.SZ,78.03719008264463,EMA,compare,等比前复权,compare,25790.929999999993,,37,0,9,6,66.66666666666666,2067.7009090909087,72.97027027027028,2.129681882095369,0.5405405405405406,75.67567567567568,-5.6929,50.078318132342716,32.18884120171674,无近期,,2284.4,6357.82,6092.74,0,5136.17,4389.46,-2464.7,-4848.95,-1090.02,6887.79,0
37,601012.SH,78.00619834710744,SMA,compare,等比前复权,compare,-15988.179999999997,,35,0,8,5,62.5,2234.472727272727,77.12857142857142,2.0142511463309156,0.5142857142857142,74.28571428571429,-9.1521,32.01594002165689,35.622317596566525,无近期,,4289.99,12928.58,-1415.25,1079.76,3948,8702.12,0,0,0,-2730,-2224
38,601318.SH,77.95454545454545,SMA,compare,等比前复权,compare,-9445.429999999993,,43,0,10,6,60,4525.705454545455,67.43488372093023,3.0165389150585136,0.4651162790697674,69.76744186046511,-5.4259,24.283497651973853,38.62660944206009,无近期,,3321.82,17627.98,-3951.45,-2667.86,6760.27,-2059.52,0,5934.35,15211.21,12524.09,-2918.13
39,002709.SZ,77.73760330578513,SMA,compare,等比前复权,compare,-24960.64,,19,0,7,6,85.71428571428571,2168.4754545454543,73.69473684210527,3.380015565289404,0.26315789473684215,63.1578947368421,-3.9228,61.11830849470007,20.600858369098713,无近期,,-1260.67,3588.17,5269.87,2707.06,3503.1,0,895.63,0,0,9150.07,0
40,601628.SH,77.68595041322314,SMA,compare,等比前复权,compare,-11944.480000000003,,35,0,10,6,60,3373.608181818182,68.57428571428571,2.6260910259269696,0.4857142857142857,71.42857142857143,-6.507599999999999,29.858582725913774,39.91416309012876,无近期,,10737.69,11257.13,1870.25,1359.87,-1821.25,-3822.12,-2632.25,4225.54,21086.72,-5151.89,0
41,600989.SH,77.1590909090909,EMA,compare,前复权,compare,11736,,35,0,7,5,71.42857142857143,2195,71.42857142857143,1.7069527758766456,0.5142857142857142,74.28571428571429,-6.7395,42.72862904364786,27.896995708154503,无近期,,,,,0,-828,9030,-6124,2265,2717,7035,3465
42,600219.SH,76.70454545454545,SMA,compare,等比前复权,compare,-22128.760000000002,,37,0,10,7,70,2208.1927272727276,72.96756756756757,2.0734778477516294,0.40540540540540543,70.27027027027027,-6.6356,52.839073664526005,27.467811158798284,无近期,,2422.81,4315.87,-398.35,1094.44,-3242.96,2749.98,670.64,-3621.14,12900.66,7398.17,0
43,600438.SH,76.65289256198346,SMA,compare,前复权,compare,-13118,,13,0,6,5,83.33333333333334,1277.7272727272727,69.23076923076923,2.7270828213320226,0.6923076923076923,84.61538461538461,-3.6900000000000004,47.48912547527755,28.32618025751073,无近期,,642,0,8415,0,5562,2046,-3690,0,0,1080,0
44,600025.SH,76.01239669421487,EMA,compare,等比前复权,compare,18214.479999999992,,44,0,8,4,50,2692.3149999999996,77.26818181818182,2.1692987286884193,0.5454545454545454,75,-5.5471,18.136152579304074,59.227467811158796,无近期,,,0,0,-1506.37,4948.45,12675.49,-1602.37,18541.62,2090.63,-2927.22,-5297.08
44,600196.SH,76.01239669421487,SMA,compare,前复权,compare,-7684,,29,0,8,5,62.5,1678.4545454545455,75.86551724137931,2.13228259536367,0.6551724137931034,82.75862068965517,-6.3378000000000005,36.903523642429256,47.63948497854077,无近期,,1916,6009,7852,-5232,10668,0,0,0,1140,-3638,-252
46,002153.SZ,75.82644628099173,EMA,compare,前复权,compare,32711.65,,44,0,9,6,66.66666666666666,3820.5036363636364,68.175,1.7964138433424355,0.40909090909090917,70.45454545454545,-12.3193,51.28713860991697,21.888412017167383,无近期,,0,526.69,6988.23,2414.44,-7676.22,-6369.46,-3764.61,28598.47,4160,17148,0
47,000625.SZ,75.06198347107438,EMA,compare,等比前复权,compare,10538.049999999994,,39,0,9,6,66.66666666666666,2331.0109090909086,71.8025641025641,1.972113982589153,0.4102564102564103,69.23076923076923,-6.748600000000001,25.812575549332756,56.22317596566524,无近期,,26.64,-4827.27,0,18926.75,2073.51,2591.96,1836.58,-2521.61,9367.28,-1832.72,0
48,601225.SH,74.48347107438018,EMA,compare,等比前复权,compare,1604.9099999999999,,64,3,11,8,72.72727272727273,2237.639090909091,73.43749999999999,1.516418842991575,0.390625,68.75,-9.417300000000001,36.801250837969526,34.33476394849785,无近期,,8434.76,1177.28,-7238.92,3840.77,50.95,19944.53,2420.23,854.55,-8774.86,3972.43,-67.69
49,300122.SZ,74.23553719008265,EMA,compare,等比前复权,compare,21974.93,,31,0,9,6,66.66666666666666,1623.969090909091,74.18709677419353,2.042770516071487,0.4838709677419355,74.19354838709677,-6.271100000000001,71.80383361713706,34.33476394849785,无近期,,7317.44,7864.39,3020.49,-3903.59,0,2223.61,-583.48,-1275.43,2042.23,1158,0
50,002594.SZ,74.02892561983471,EMA,compare,前复权,compare,27751.46,,35,0,8,5,62.5,3071.1981818181816,68.56857142857143,2.6073696050182513,0.37142857142857144,68.57142857142857,-4.6152999999999995,25.746990572657847,48.06866952789699,无近期,,7218.32,0,-2906,7538.2,7097,0,0,-2081.34,1191,16870,-1144
51,601336.SH,73.05785123966943,EMA,compare,等比前复权,compare,15983.050000000003,,28,0,9,6,66.66666666666666,3367.1918181818182,67.86785714285716,2.9072947021350988,0.28571428571428575,64.28571428571429,-7.6918,25.44398279771264,36.48068669527897,无近期,,3732.9,-1633.47,-7073.17,3380.12,3160.33,0,957.45,-570.98,25167.48,9918.45,0
52,000725.SZ,72.87190082644629,SMA,compare,等比前复权,compare,-7104.76,,37,0,9,6,66.66666666666666,1923.7618181818182,70.26756756756757,1.804008992459298,0.5135135135135136,75.67567567567568,-5.560099999999999,73.26110582116436,48.06866952789699,无近期,,7539.99,6696.96,0,5169.93,6292.45,-3743.61,0,233.98,4708.54,-3404.89,-2331.97
53,000338.SZ,72.72727272727272,EMA,compare,等比前复权,compare,7638.320000000003,,52,1,11,8,72.72727272727273,1609.4118181818185,73.07307692307691,1.5850965629952296,0.48076923076923084,71.15384615384616,-6.0675,65.4035291258923,27.467811158798284,无近期,,5473.07,6329.47,3217.32,3853.56,645,-637.36,-2200.11,1776.25,768.68,2660.63,-4182.98
54,000425.SZ,72.69628099173553,SMA,compare,前复权,compare,-31094,,32,0,8,5,62.5,2841.7272727272725,71.884375,2.391081838814472,0.3125,65.625,-7.0052,32.446893447273084,27.896995708154503,无近期,,243,6493,-924,-548,0,-295,0,4080,3288,18922,0
55,002493.SZ,72.4896694214876,EMA,compare,前复权,compare,9084.919999999998,,52,1,11,6,54.54545454545454,2990.7981818181815,73.08461538461539,1.81149124074952,0.4230769230769231,71.15384615384616,-8.0371,46.33219148338393,21.45922746781116,无近期,,3592.01,-1650.22,-1866.67,10446.66,14130,8427,-6127,-2501,-4052,9119,3381
56,601398.SH,72.27272727272727,EMA,compare,前复权,compare,1445.8999999999942,,55,2,11,7,63.63636363636363,4040.326363636363,67.27090909090909,2.1701279717506954,0.32727272727272727,63.63636363636363,-9.669,23.654038658393432,64.8068669527897,无近期,,11161,4016,-3542,7573.4,-9669,-1420,-4813.85,13402.65,16454.76,10328,952.63
57,601288.SH,71.82851239669422,SMA,compare,等比前复权,compare,-1395.6100000000042,,40,0,10,6,60,3096.1463636363637,70,2.432904161183159,0.325,55.00000000000001,-5.7777,26.372693802296542,46.78111587982833,无近期,,2482.67,11445.77,5548.18,-3630.57,-5464.26,-2791.66,-2993.78,14628.38,10286.31,4546.57,0
58,600795.SH,71.39462809917356,EMA,compare,等比前复权,compare,5835.130000000001,,42,0,9,6,66.66666666666666,2141.0045454545457,69.05,1.915840178820031,0.42857142857142855,69.04761904761905,-5.7812,19.562986483354244,48.927038626609445,无近期,,0,3731.05,0,357.37,-4183.91,13511.55,1443.72,2911.47,-190.12,8051.36,-2081.44
59,002064.SZ,70.82644628099173,SMA,compare,前复权,compare,-20366,,38,0,8,6,75,2279.4545454545455,65.78421052631579,1.8648294415893492,0.368421052631579,68.42105263157895,-8.442,48.59730491331242,28.75536480686695,无近期,,5451,-1673,0,13136,0,3766,0,-8442,2031,9881,924
60,300014.SZ,70.68181818181817,EMA,compare,前复权,compare,20354.68,,25,0,8,5,62.5,2311.568181818182,68.004,2.0883387492210024,0.43999999999999995,72,-10.3632,36.678414715705024,27.038626609442062,无近期,,0,19816.15,-505.03,39.46,0,2650,7714,0,3888,-4993,-3182.33
61,600803.SH,70.6198347107438,EMA,compare,前复权,compare,26929.600000000002,,62,1,11,8,72.72727272727273,2851.490909090909,66.1241935483871,1.6505527325521103,0.35483870967741926,67.74193548387096,-12.831999999999999,29.916277714568167,38.197424892703864,无近期,,14582.4,-12832,5890,16083,-4200,3960,-5330,2343,1936,7678,1256
62,600875.SH,69.70041322314049,EMA,compare,前复权,compare,36512,,37,0,9,5,55.55555555555556,3577.4545454545455,64.86756756756756,2.339779381724091,0.40540540540540543,70.27027027027027,-6.105300000000001,49.08758177100194,21.030042918454935,无近期,,0,-1319,-1482,-2124,5188,3143,12533,-5587,3803,25197,0
63,603806.SH,69.52479338842976,EMA,compare,等比前复权,compare,15695.8,,30,1,11,6,54.54545454545454,1875.1354545454544,73.33333333333333,2.141238933548452,0.4666666666666666,73.33333333333333,-5.103,48.37183393401254,30.90128755364807,无近期,,3458.94,3655.92,4737.14,1663.14,4327.16,15655.15,-751.24,-1798.66,-3128.71,-2089.35,-5103
63,000933.SZ,69.52479338842976,SMA,compare,前复权,compare,-28865,,13,0,6,4,66.66666666666666,1220.4545454545455,69.23846153846155,2.567242586971749,0.5384615384615384,76.92307692307693,-5.994,48.551033465467405,22.317596566523605,无近期,,0,6912,5156,-2661,0,0,0,213,0,3805,0
65,601601.SH,69.31818181818183,EMA,compare,前复权,compare,8832,,47,0,9,6,66.66666666666666,2023.3636363636363,70.21063829787234,1.6924369225025666,0.4042553191489362,70.2127659574468,-4.3636,29.454037089663416,30.472103004291846,无近期,,10210,2730,-3171,9852,2498,0,0,2012,2544,-686,-3732
66,600941.SH,68.4400826446281,SMA,compare,等比前复权,compare,-3117.7800000000007,,26,0,3,2,66.66666666666666,1658.316,69.23461538461537,1.960622002972842,0.4230769230769231,65.38461538461539,-3.0956,18.093918498842054,72.53218884120172,无近期,,,,,,,,0,1518.09,7471.38,-697.89,0
67,002841.SZ,68.23347107438018,EMA,compare,前复权,compare,25332,,30,0,8,5,62.5,3121.8,66.66,1.9938240162995033,0.3333333333333333,66.66666666666666,-7.452,59.54538192457923,28.32618025751073,无近期,,,0,8761,15602,10099,6137,0,-2185,7420,-7452,-7164
68,600547.SH,67.25206611570248,EMA,compare,前复权,compare,21505.810000000005,,36,1,11,6,54.54545454545454,3274.527272727273,66.66111111111111,2.071199154931588,0.38888888888888884,69.44444444444444,-10.2782,56.502680601399014,22.317596566523605,无近期,,1458.67,-2851.53,-6417.86,20057.66,10832.86,-1430,-7923,1607,3284,21566,-4164
69,600406.SH,66.69421487603306,EMA,compare,等比前复权,compare,13303.359999999997,,68,2,11,6,54.54545454545454,3011.4663636363634,66.17205882352943,1.6831508875709138,0.47058823529411764,72.05882352941177,-8.8411,28.002438356877306,43.34763948497854,无近期,,9722.06,1937.09,-6223.33,22550.28,-1685.7,3871.04,-2285.15,-4040.39,3956.94,-1861.84,7185.13
70,600674.SH,65.59917355371901,EMA,compare,等比前复权,compare,11760.670000000002,,78,1,11,6,54.54545454545454,2070.016363636364,74.36538461538461,1.4269706828907995,0.44871794871794873,70.51282051282051,-7.2755,20.56114192126661,64.37768240343348,无近期,,-450.05,7099.48,-3191.29,2703.34,2822.61,3505.27,-272.09,6459.6,8767.27,-1032.28,-3641.68
71,601162.SH,65.24793388429751,SMA,compare,等比前复权,compare,-1992.630000000001,,13,0,3,2,66.66666666666666,1389.8155555555556,76.92307692307692,2.367520414399463,0.23076923076923078,61.53846153846154,-3.3335999999999997,29.679533220511583,48.927038626609445,无近期,,,,0,0,12540.34,0,0,-856,0,824,0
72,002179.SZ,65.10330578512396,EMA,compare,等比前复权,compare,9435.880000000001,,70,1,11,7,63.63636363636363,2387.660909090909,67.14571428571428,1.5232676798265885,0.3857142857142857,68.57142857142857,-8.661000000000001,46.202054656698095,30.472103004291846,无近期,,3981.07,8211.31,3561.14,18852.41,-1815.11,1159.13,3134.29,-4601.42,385.54,-3783.09,-2821
73,688599.SH,64.89669421487604,EMA,compare,前复权,compare,15106,,11,0,5,3,60,1964,63.63636363636363,2.382681283314895,0.45454545454545453,72.72727272727273,-6.7204,42.08109268030943,32.18884120171674,无近期,,,,,,0,0,8221,-1043,-1672,7917,325
74,601100.SH,64.77272727272727,SMA,compare,等比前复权,compare,-2259.100000000002,,37,0,9,5,55.55555555555556,2611.514545454546,70.27027027027027,1.7779182026673268,0.2972972972972973,64.86486486486487,-8.5242,46.752638618021386,37.76824034334764,无近期,,1359.51,6869.57,-5226.17,13603,0,-8524.17,-464.84,-2384.79,0,20624.38,2870.17
75,601888.SH,64.52479338842976,EMA,compare,等比前复权,compare,9239.779999999999,,33,0,9,6,66.66666666666666,1434.0090909090907,69.68181818181819,1.6877717452914922,0.393939393939394,69.6969696969697,-6.0077,33.581671600854335,32.18884120171674,无近期,,-3166.95,10293.56,1769.45,5015.07,3691.87,-6007.72,-3371.82,1644.12,0,5906.52,0
76,601966.SH,64.41115702479338,SMA,compare,前复权,compare,-16736.8,,23,0,7,5,71.42857142857143,1222.4545454545455,69.56956521739131,2.4535725867473785,0.30434782608695654,65.21739130434783,-3.9050000000000002,23.452710878034438,63.94849785407726,无近期,,0,0,0,3630,1343,-3905,0,9635,3238,-560,66
77,002271.SZ,63.49173553719009,EMA,compare,前复权,compare,12260.29,,23,0,7,5,71.42857142857143,1290.3472727272726,69.5608695652174,1.5455911074517528,0.391304347826087,69.56521739130434,-6.194999999999999,44.96947309088661,31.759656652360512,无近期,,0,3269.82,0,11206,0,-1348,629,2835,-5070,2672,0
78,600132.SH,63.4297520661157,SMA,compare,等比前复权,compare,-1853.569999999998,,36,0,9,6,66.66666666666666,1174.1018181818179,72.22222222222223,1.5723503504976277,0.41666666666666663,69.44444444444444,-6.291099999999999,27.08802510102064,63.94849785407726,无近期,,8185.51,941.6,-4481.9,7728.86,3962.07,1255.27,0,1348.96,-5095.56,0,-929.69
79,300033.SZ,63.21280991735537,EMA,compare,等比前复权,compare,13534.070000000003,,44,0,10,6,60,2837.2136363636364,68.18181818181819,1.663035158166178,0.2727272727272727,63.63636363636363,-9.4597,43.10225198665653,35.1931330472103,无近期,,4636.9,882.96,-4140.38,27373.79,4608.78,-9217.72,1957.87,-481.41,0,14972.83,-9384.27
80,000157.SZ,63.16115702479339,EMA,compare,前复权,compare,20619,,35,0,8,5,62.5,2501.909090909091,68.55428571428571,1.7390171858216972,0.22857142857142854,60,-8.5261,28.39349626945597,36.48068669527897,无近期,,5609,3468,-4020,0,25228,0,0,1785,-1771,1224,-4002
81,600570.SH,62.29338842975206,EMA,compare,等比前复权,compare,6404.93,,29,0,9,6,66.66666666666666,1839.5227272727273,62.0551724137931,1.7171816662921515,0.4482758620689656,72.41379310344827,-8.4828,30.944206403866474,31.330472103004293,无近期,,2634.47,0,6677.39,4908.57,-117.25,3562.51,844.92,-4185.96,0,9819.66,-3909.56
82,600690.SH,61.92148760330578,EMA,compare,前复权,compare,27804.6,,34,1,11,8,72.72727272727273,2404.2363636363634,61.75,1.8199224926368005,0.23529411764705882,61.76470588235294,-6.6979999999999995,20.572584597369804,57.93991416309014,无近期,,3565,880,4413.6,11919,5094,-4162,-4252,-3692,10851,710,1120
83,601229.SH,61.57024793388429,SMA,compare,前复权,compare,-6849,,41,0,8,4,50,1956.2581818181818,65.86829268292682,1.8749903936977779,0.5365853658536585,73.17073170731707,-5.1191,20.853069341848645,60.51502145922747,无近期,,0,0,6087.69,15391.15,-2255,-4490,0,6921,2268,-2300,-104
84,601138.SH,61.46694214876033,EMA,compare,前复权,compare,13785,,20,0,8,4,50,1894.3333333333333,64.995,2.2683380449337895,0.49999999999999994,75,-7.171900000000001,67.41999551822124,23.605150214592275,无近期,,,,0,18533,2816,-6886,-1050,6577,-1752,2184,-3373
85,601857.SH,61.22933884297521,EMA,compare,等比前复权,compare,3638.800000000003,,46,0,9,6,66.66666666666666,2541.966363636364,60.869565217391305,1.8598564836810536,0.30434782608695654,63.04347826086957,-6.4449000000000005,33.35496761706506,41.201716738197426,无近期,,3381.51,-1177.89,-157.8,0,0,4473.51,1289.48,12921.6,6333.99,-1999.77,2897
86,600340.SH,60.53719008264462,SMA,compare,前复权,compare,-21569.9,,20,0,5,4,80,1274.4454545454546,65,1.9597535937103137,0.3,65,-5.675,35.285283821462784,25.75107296137339,无近期,,-1743.86,333.84,0,6546.92,1736,0,0,0,0,7146,0
87,601919.SH,60.37190082644628,SMA,compare,前复权,compare,-15887,,30,0,6,4,66.66666666666666,1372.2857142857142,70.02666666666667,1.3147547429470166,0.4,70,-10.328,20.764019874454558,43.776824034334766,无近期,,,,,,0,5704,-3015,7078,4026,-5675,1488
88,000001.SZ,60.22727272727273,SMA,compare,前复权,compare,-12722.1,,26,0,7,5,71.42857142857143,1456.7272727272727,65.38846153846154,1.9411488311993421,0.3076923076923077,65.38461538461539,-5.821,16.819017923895988,72.96137339055794,无近期,,5461,10692,-4225,1350,1680,0,0,0,5350,-4284,0
89,600104.SH,59.462809917355365,SMA,compare,等比前复权,compare,-26868.720000000005,,30,0,9,5,55.55555555555556,2514.7800000000007,63.34000000000001,2.1812498558804614,0.26666666666666666,60,-5.7395000000000005,23.306780800665784,50.64377682403433,无近期,,8969.23,7241.61,624.28,-977.5,13840.03,3608.05,0,-3104.43,-793.1,-1745.59,0
90,601009.SH,58.86363636363636,SMA,compare,等比前复权,compare,-9594.500000000005,,56,0,10,6,60,1555.5500000000002,73.21071428571429,1.444733262187309,0.3214285714285714,66.07142857142857,-8.3229,18.272492414314957,56.65236051502146,无近期,,9593.84,-4267.61,-1706.99,6666.32,-8322.85,2443.88,1719.6,0,4661.28,7250.72,-927.14
90,600809.SH,58.86363636363636,EMA,compare,等比前复权,compare,14949.509999999998,,36,0,8,6,75,1015.3081818181818,69.44166666666666,1.4715691879480446,0.33333333333333337,66.66666666666666,-6.8770999999999995,40.76809770087242,33.047210300429185,无近期,,2404.93,0,3797.17,0,3490.32,5135.7,-1672.45,527.67,-3071.54,556.59,0
92,600256.SH,58.099173553719005,SMA,compare,等比前复权,compare,-34868.13,,28,0,9,6,66.66666666666666,1613.6254545454542,64.28928571428573,1.5389614037261161,0.3571428571428572,67.85714285714286,-6.2514,39.23132196196008,37.33905579399141,无近期,,0,-3730.29,10.23,1984.81,3362.01,9653.07,1785.87,-2583.78,-6251.43,0,13519.39
93,002304.SZ,57.92355371900827,EMA,compare,前复权,compare,37056,,29,0,10,6,60,2135.5454545454545,62.06896551724138,1.8449392130062585,0.34482758620689646,65.51724137931035,-8.55,28.78704037577513,46.3519313304721,无近期,,7928,9042,162,9040,7410,2580,-3321,-5328,-1866,-2156,0
94,002236.SZ,57.72727272727273,SMA,compare,前复权,compare,-1843.6399999999994,,27,0,10,6,60,2501.909090909091,62.95555555555556,2.0630794190358466,0.18518518518518517,59.25925925925925,-5.4666,25.445299139499156,47.63948497854077,无近期,,-1836,3276,5798,5567,-1595,1300,0,-2850,4000,16606,-2745
95,002311.SZ,57.37603305785124,EMA,compare,等比前复权,compare,3345.2999999999975,,63,1,11,5,45.45454545454545,1392.49,71.42380952380951,1.456229366400309,0.5555555555555556,77.77777777777779,-6.5329,28.46956606906219,41.63090128755365,无近期,,1843.08,9362.32,-4029.63,9450.63,7176.63,-1427.01,-6532.92,-5804.79,-1499.28,9838.06,-3059.7
