代码,名称,品种类型,行业,多空,操作时间,操作类型,操作价格,当前价格,盈利,买入权重(%),当前权重(%),数量,交易费用,市值,业务类型
601939,建设银行,股票,银行,-,2023-01-09 00:00:00,买入,4.59,4.59,0.00,0.00%,0.00%,10800,0.00,49611.45,买入
601939,建设银行,股票,银行,-,2023-02-21 00:00:00,卖出,4.60,4.60,88.12,0.00%,0.00%,10800,0.00,49699.57,卖出
601939,建设银行,股票,银行,-,2023-03-10 00:00:00,买入,4.70,4.70,0.00,0.00%,0.00%,10600,0.00,49817.07,买入
601939,建设银行,股票,银行,-,2023-03-21 00:00:00,卖出,4.85,4.85,1556.78,0.00%,0.00%,10600,0.00,51373.85,卖出
601939,建设银行,股票,银行,-,2023-03-24 00:00:00,买入,4.89,4.89,0.00,0.00%,0.00%,10200,0.00,49851.33,买入
601939,建设银行,股票,银行,-,2023-04-12 00:00:00,买入,5.03,5.03,0.00,0.00%,0.00%,9900,0.00,49758.32,买入
601939,建设银行,股票,银行,-,2023-04-21 00:00:00,卖出,5.11,5.11,2180.97,0.00%,0.00%,9900,0.00,50566.08,卖出
601939,建设银行,股票,银行,-,2023-05-10 00:00:00,卖出,5.40,5.40,3869.93,0.00%,0.00%,10200,0.00,55094.46,卖出
601939,建设银行,股票,银行,-,2023-06-05 00:00:00,买入,5.30,5.30,0.00,0.00%,0.00%,9400,0.00,49776.27,买入
601939,建设银行,股票,银行,-,2023-06-09 00:00:00,卖出,5.37,5.37,690.27,0.00%,0.00%,9400,0.00,50466.54,卖出
601939,建设银行,股票,银行,-,2023-06-13 00:00:00,买入,5.31,5.31,0.00,0.00%,0.00%,9400,0.00,49929.66,买入
601939,建设银行,股票,银行,-,2023-08-07 00:00:00,卖出,5.21,5.21,-997.08,0.00%,0.00%,9400,0.00,48932.58,卖出
601939,建设银行,股票,银行,-,2023-08-09 00:00:00,买入,5.20,5.20,0.00,0.00%,0.00%,9600,0.00,49890.27,买入
601939,建设银行,股票,银行,-,2023-08-28 00:00:00,卖出,5.34,5.34,1334.86,0.00%,0.00%,9600,0.00,51225.13,卖出
601939,建设银行,股票,银行,-,2023-08-31 00:00:00,买入,5.21,5.21,0.00,0.00%,0.00%,9500,0.00,49535.70,买入
601939,建设银行,股票,银行,-,2023-09-25 00:00:00,买入,5.47,5.47,0.00,0.00%,0.00%,9100,0.00,49822.48,买入
601939,建设银行,股票,银行,-,2023-09-27 00:00:00,卖出,5.38,5.38,1568.63,0.00%,0.00%,9500,0.00,51104.33,卖出
601939,建设银行,股票,银行,-,2023-10-20 00:00:00,卖出,5.69,5.69,1977.08,0.00%,0.00%,9100,0.00,51799.57,卖出
601939,建设银行,股票,银行,-,2023-10-23 00:00:00,买入,5.65,5.65,0.00,0.00%,0.00%,8800,0.00,49709.51,买入
601939,建设银行,股票,银行,-,2023-12-06 00:00:00,卖出,5.47,5.47,-1606.00,0.00%,0.00%,8800,0.00,48103.51,卖出
601939,建设银行,股票,银行,-,2023-12-13 00:00:00,买入,5.60,5.60,0.00,0.00%,0.00%,8900,0.00,49810.32,买入
601939,建设银行,股票,银行,-,2024-01-09 00:00:00,买入,5.79,5.79,0.00,0.00%,0.00%,8600,0.00,49775.56,买入
601939,建设银行,股票,银行,-,2024-01-10 00:00:00,卖出,5.72,5.72,1082.83,0.00%,0.00%,8900,0.00,50893.15,卖出
601939,建设银行,股票,银行,-,2024-01-30 00:00:00,卖出,5.92,5.92,1121.07,0.00%,0.00%,8600,0.00,50896.63,卖出
601939,建设银行,股票,银行,-,2024-03-21 00:00:00,买入,5.87,5.87,0.00,0.00%,0.00%,8500,0.00,49935.46,买入
601939,建设银行,股票,银行,-,2024-03-28 00:00:00,卖出,5.94,5.94,517.08,0.00%,0.00%,8500,0.00,50452.54,卖出
601939,建设银行,股票,银行,-,2024-04-01 00:00:00,买入,6.01,6.01,0.00,0.00%,0.00%,8300,0.00,49842.47,买入
601939,建设银行,股票,银行,-,2024-04-15 00:00:00,买入,6.20,6.20,0.00,0.00%,0.00%,8000,0.00,49639.99,买入
601939,建设银行,股票,银行,-,2024-04-22 00:00:00,卖出,6.34,6.34,2711.43,0.00%,0.00%,8000,0.00,50752.37,卖出
601939,建设银行,股票,银行,-,2024-04-26 00:00:00,卖出,6.19,6.19,-84.30,0.00%,0.00%,8300,0.00,51357.22,卖出
601939,建设银行,股票,银行,-,2024-05-09 00:00:00,买入,6.16,6.16,0.00,0.00%,0.00%,8100,0.00,49908.52,买入
601939,建设银行,股票,银行,-,2024-07-01 00:00:00,买入,6.58,6.58,0.00,0.00%,0.00%,7600,0.00,49998.03,买入
601939,建设银行,股票,银行,-,2024-07-22 00:00:00,卖出,6.81,6.81,4938.22,0.00%,0.00%,7600,0.00,51765.97,卖出
601939,建设银行,股票,银行,-,2024-08-29 00:00:00,卖出,7.25,7.25,5657.07,0.00%,0.00%,8100,0.00,58735.88,卖出
601939,建设银行,股票,银行,-,2024-09-20 00:00:00,买入,6.63,6.63,0.00,0.00%,0.00%,7500,0.00,49709.74,买入
601939,建设银行,股票,银行,-,2024-09-27 00:00:00,卖出,7.01,7.01,2887.70,0.00%,0.00%,7500,0.00,52597.45,卖出
601939,建设银行,股票,银行,-,2024-11-25 00:00:00,买入,7.22,7.22,0.00,0.00%,0.00%,6900,0.00,49844.50,买入
601939,建设银行,股票,银行,-,2024-12-09 00:00:00,买入,7.56,7.56,0.00,0.00%,0.00%,6600,0.00,49916.01,买入
601939,建设银行,股票,银行,-,2024-12-19 00:00:00,卖出,7.77,7.77,3630.26,0.00%,0.00%,6600,0.00,51307.61,卖出
601939,建设银行,股票,银行,-,2025-01-02 00:00:00,卖出,7.87,7.87,2252.41,0.00%,0.00%,6900,0.00,54335.57,卖出
601939,建设银行,股票,银行,-,2025-03-10 00:00:00,买入,7.93,7.93,0.00,0.00%,0.00%,6300,0.00,49942.40,买入
601939,建设银行,股票,银行,-,2025-04-01 00:00:00,卖出,8.13,8.13,1300.28,0.00%,0.00%,6300,0.00,51242.67,卖出
601939,建设银行,股票,银行,-,2025-04-10 00:00:00,买入,8.20,8.20,0.00,0.00%,0.00%,6000,0.00,49196.57,买入
601939,建设银行,股票,银行,-,2025-04-30 00:00:00,卖出,8.50,8.50,1801.25,0.00%,0.00%,6000,0.00,50997.81,卖出
601939,建设银行,股票,银行,-,2025-06-17 00:00:00,买入,8.66,8.66,0.00,0.00%,0.00%,5700,0.00,49347.07,买入
601939,建设银行,股票,银行,-,2025-06-27 00:00:00,卖出,8.99,8.99,1914.80,0.00%,0.00%,5700,0.00,51261.87,卖出
601939,建设银行,股票,银行,-,2025-08-05 00:00:00,买入,9.25,9.25,0.00,0.00%,0.00%,5400,0.00,49963.26,买入
601939,建设银行,股票,银行,-,2025-09-17 00:00:00,卖出,8.64,8.64,-3317.06,0.00%,0.00%,5400,0.00,46646.20,卖出
601939,建设银行,股票,银行,-,2025-10-29 00:00:00,买入,8.86,8.86,0.00,0.00%,0.00%,5600,0.00,49610.06,买入
601939,建设银行,股票,银行,-,2025-11-06 00:00:00,卖出,9.06,9.06,1128.72,0.00%,0.00%,5600,0.00,50738.78,卖出
601939,建设银行,股票,银行,-,2025-11-07 00:00:00,买入,9.01,9.01,0.00,0.00%,0.00%,5500,0.00,49568.79,买入
601939,建设银行,股票,银行,-,2025-11-13 00:00:00,卖出,9.16,9.16,791.83,0.00%,0.00%,5500,0.00,50360.62,卖出
601939,建设银行,股票,银行,-,2025-11-14 00:00:00,买入,9.18,9.18,0.00,0.00%,0.00%,5400,0.00,49548.63,买入
601939,建设银行,股票,银行,-,2025-11-20 00:00:00,卖出,9.43,9.43,1347.56,0.00%,0.00%,5400,0.00,50896.19,卖出
601939,建设银行,股票,银行,-,2025-11-27 00:00:00,买入,9.32,9.32,0.00,0.00%,0.00%,5300,0.00,49394.10,买入
601939,建设银行,股票,银行,-,2025-12-16 00:00:00,卖出,8.66,8.66,-3476.30,0.00%,0.00%,5300,0.00,45917.80,卖出
601939,建设银行,股票,银行,-,2025-12-22 00:00:00,买入,9.01,9.01,0.00,0.00%,0.00%,5500,0.00,49537.17,买入
601939,建设银行,股票,银行,-,2026-01-27 00:00:00,卖出,8.55,8.55,-2533.46,0.00%,0.00%,5500,0.00,47003.71,卖出
601939,建设银行,股票,银行,-,2026-04-03 00:00:00,买入,9.21,9.21,0.00,0.00%,0.00%,5400,0.00,49747.88,买入
601939,建设银行,股票,银行,-,2026-04-20 00:00:00,买入,9.54,9.54,0.00,0.00%,0.00%,5200,0.00,49587.15,买入
601939,建设银行,股票,银行,-,2026-04-22 00:00:00,卖出,9.59,9.59,2064.01,0.00%,0.00%,5400,0.00,51811.89,卖出
601939,建设银行,股票,银行,-,2026-05-28 00:00:00,卖出,9.89,9.89,1834.67,0.00%,0.00%,5200,0.00,51421.82,卖出
601939,建设银行,股票,银行,-,2026-06-04 00:00:00,买入,9.83,9.83,0.00,0.00%,0.00%,5000,0.00,49150.04,买入
601939,建设银行,股票,银行,-,2026-06-15 00:00:00,卖出,10.18,10.18,1764.11,0.00%,0.00%,5000,0.00,50914.15,卖出
601939,建设银行,股票,银行,-,2026-06-26 00:00:00,买入,9.58,9.58,0.00,0.00%,0.00%,5200,0.00,49841.97,买入
601939,建设银行,股票,银行,-,2026-07-09 00:00:00,卖出,9.69,9.69,560.59,0.00%,0.00%,5200,0.00,50402.56,卖出
601939,建设银行,股票,银行,-,2026-08-10 00:00:00,买入,10.13,10.13,0.00,0.00%,0.00%,4900,0.00,49637.00,买入
601939,建设银行,股票,银行,-,2026-08-21 00:00:00,买入,10.53,10.53,0.00,0.00%,0.00%,4700,0.00,49491.00,买入
